,file,age,gender,race,service_test,MCSBW
3392,val/3393.jpg,0-2,Female,White,False,0.1996
2389,val/2390.jpg,0-2,Female,Latino_Hispanic,False,0.201
7968,val/7969.jpg,0-2,Male,Black,False,0.2036
9658,val/9659.jpg,0-2,Female,Latino_Hispanic,False,0.1886
10318,val/10319.jpg,0-2,Male,Latino_Hispanic,False,0.1945
10317,val/10318.jpg,0-2,Male,East Asian,False,0.2037
4933,val/4934.jpg,0-2,Female,East Asian,False,0.2112
2447,val/2448.jpg,0-2,Female,Southeast Asian,False,0.1978
5020,val/5021.jpg,0-2,Male,Southeast Asian,False,0.2073
2448,val/2449.jpg,0-2,Male,Southeast Asian,False,0.2021
399,val/400.jpg,0-2,Male,East Asian,True,0.2097
389,val/390.jpg,0-2,Male,Middle Eastern,False,0.1963
10294,val/10295.jpg,0-2,Male,Southeast Asian,False,0.2072
8022,val/8023.jpg,0-2,Female,Southeast Asian,False,0.2083
4754,val/4755.jpg,0-2,Male,East Asian,False,0.1964
362,val/363.jpg,0-2,Female,Southeast Asian,False,0.2186
4739,val/4740.jpg,0-2,Male,East Asian,False,0.2084
4897,val/4898.jpg,0-2,Male,Indian,False,0.2067
10326,val/10327.jpg,0-2,Male,Black,False,0.2023
8853,val/8854.jpg,0-2,Male,Black,False,0.2023
2378,val/2379.jpg,0-2,Female,Latino_Hispanic,True,0.1996
512,val/513.jpg,0-2,Male,East Asian,False,0.2058
8882,val/8883.jpg,0-2,Male,Indian,False,0.2134
2271,val/2272.jpg,0-2,Male,East Asian,False,0.2015
500,val/501.jpg,0-2,Male,White,False,0.2124
10358,val/10359.jpg,0-2,Male,Latino_Hispanic,True,0.2021
5170,val/5171.jpg,0-2,Female,East Asian,True,0.1991
2281,val/2282.jpg,0-2,Male,Southeast Asian,False,0.2098
484,val/485.jpg,0-2,Male,Indian,False,0.2014
2304,val/2305.jpg,0-2,Male,East Asian,False,0.2042
7887,val/7888.jpg,0-2,Male,Southeast Asian,False,0.2046
2310,val/2311.jpg,0-2,Female,White,False,0.1901
5110,val/5111.jpg,0-2,Male,Southeast Asian,False,0.2123
2334,val/2335.jpg,0-2,Female,White,False,0.2001
5070,val/5071.jpg,0-2,Female,Indian,False,0.2019
5064,val/5065.jpg,0-2,Male,White,False,0.2158
455,val/456.jpg,0-2,Female,Black,False,0.1936
10330,val/10331.jpg,0-2,Female,White,False,0.2041
349,val/350.jpg,0-2,Male,East Asian,False,0.2036
10844,val/10845.jpg,0-2,Male,Black,False,0.1993
8089,val/8090.jpg,0-2,Male,Black,False,0.2018
8097,val/8098.jpg,0-2,Male,Southeast Asian,False,0.2051
2807,val/2808.jpg,0-2,Male,White,False,0.1962
4310,val/4311.jpg,0-2,Male,Indian,False,0.2098
4308,val/4309.jpg,0-2,Female,White,False,0.2074
4299,val/4300.jpg,0-2,Female,Southeast Asian,True,0.2163
4284,val/4285.jpg,0-2,Female,Southeast Asian,True,0.2086
2842,val/2843.jpg,0-2,Male,Middle Eastern,False,0.2021
233,val/234.jpg,0-2,Male,East Asian,False,0.2081
2851,val/2852.jpg,0-2,Male,White,False,0.2184
224,val/225.jpg,0-2,Male,Southeast Asian,False,0.1979
4258,val/4259.jpg,0-2,Male,Latino_Hispanic,True,0.2042
8290,val/8291.jpg,0-2,Female,Indian,False,0.1959
2861,val/2862.jpg,0-2,Female,White,True,0.1947
4257,val/4258.jpg,0-2,Male,East Asian,False,0.211
10209,val/10210.jpg,0-2,Male,Black,False,0.1947
10891,val/10892.jpg,0-2,Female,Latino_Hispanic,False,0.2079
